id,label,timeset,entity_type,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,eigencentrality,clustering
c_porcel,c_porcel,,user,0,4,4,0.0,6.0,6.0,6.0,0.2609437180216032,0.275453885257807,0.0,2,0,422,0.0,0.25
cac_scec,cac_scec,,user,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8,0,290,0.0025098725377864276,0.0
caeliambulator,caeliambulator,,user,1,3,4,7.0,4.0,11.0,6.0,0.315644383184011,0.33493449781659373,5.189560439560439,7,0,311,0.0020677644822058414,0.4166666567325592
caitlinrgreen,caitlinrgreen,,user,0,4,4,0.0,6.0,6.0,7.0,0.216,0.2280423280423293,0.0,20,0,423,0.0,0.75
cambup_archaeo,cambup_archaeo,,user,7,4,11,14.0,9.0,23.0,6.0,0.25615212527964204,0.27296215429403226,11.547619047619047,2,0,311,0.03722276477049501,0.375
cambup_classics,cambup_classics,,user,8,5,13,16.0,7.0,23.0,6.0,0.3077956989247312,0.3268195050946141,2489.274412124683,6,0,311,0.008840262658989642,0.19696970283985138
can_arch,can_arch,,user,0,2,2,0.0,2.0,2.0,7.0,0.22184630256162396,0.23166822284469452,0.0,16,0,424,0.0,0.5
canadian_errant,canadian_errant,,user,0,2,2,0.0,2.0,2.0,1.0,1.0,1.0,0.0,9,0,425,0.0,0.0
caorc,caorc,,user,3,0,3,3.0,0.0,3.0,0.0,0.0,0.0,0.0,9,0,255,0.018990840739613983,0.6666666865348816
captain_primate,captain_primate,,user,0,2,2,0.0,2.0,2.0,7.0,0.22184630256162396,0.23166822284469452,0.0,16,0,426,0.0,0.5
caputmundiheidi,caputmundiheidi,,user,0,2,2,0.0,2.0,2.0,7.0,0.21569548872180452,0.22550057059861106,0.0,20,0,427,0.0,0.5
carlainesperez,carlainesperez,,user,0,5,5,0.0,8.0,8.0,5.0,0.3737785016286645,0.4007262164124922,0.0,9,0,428,0.0,0.5
carlyasilver,carlyasilver,,user,0,6,6,0.0,10.0,10.0,5.0,0.3477272727272727,0.37182280319535327,0.0,6,0,429,0.0,0.2666666805744171
carolinewazer,carolinewazer,,user,5,3,8,10.0,4.0,14.0,6.0,0.2732696897374702,0.2889374090247452,107.51481533021098,9,0,311,0.046229345718515925,0.3928571343421936
casemateac,casemateac,,user,2,2,4,3.0,2.0,5.0,6.0,0.27392344497607657,0.28566229985443936,1077.1666666666667,9,0,311,0.0027672640416548317,0.25
catacombsociety,catacombsociety,,user,0,5,5,0.0,8.0,8.0,6.0,0.3078982597054886,0.3270289855072462,0.0,6,0,431,0.0,0.05000000074505806
catharineedwa,catharineedwa,,user,0,2,2,0.0,2.0,2.0,7.0,0.21569548872180452,0.22550057059861106,0.0,20,0,432,0.0,0.5
catromancircus,catromancircus,,user,0,2,2,0.0,2.0,2.0,7.0,0.21569548872180452,0.22550057059861106,0.0,20,0,433,0.0,0.5
ccabinetto,ccabinetto,,user,0,4,4,0.0,6.0,6.0,7.0,0.2361111111111111,0.24776947816163572,0.0,6,0,434,0.0,0.5
cfilos,cfilos,,user,1,0,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,21,0,295,0.009033631440886522,0.0
charleswatkinso,charleswatkinso,,user,4,9,13,10.0,22.0,32.0,6.0,0.34462001504890893,0.37117903930131074,177.3173915170736,6,0,311,0.010027781483747158,0.2348484843969345
charlsasullivan,charlsasullivan,,user,0,2,2,0.0,2.0,2.0,5.0,0.34253731343283583,0.3622004357298482,0.0,9,0,435,0.0,0.5
